1,北京/首都,10098.30,9580.93
2,上海/浦东,7405.40,6999.43
3,广州/白云,6979.00,6577.76
4,成都/双流,5287.70,4979.00
5,深圳/宝安,4934.90,4560.91
6,昆明/长水,4708.80,4471.79
7,上海/虹桥,4362.80,4186.95
8,西安/咸阳,4465.30,4184.91
9,重庆/江北,4159.60,3873.00
10,杭州/萧山,3824.20,3557.40
11,南京/禄口,2858.00,2581.75
12,厦门/高崎,2655.30,2449.54
13,郑州/新郑,2733.50,2429.78
14,长沙/黄花,2526.60,2376.86
15,青岛/流亭,2453.60,2321.29
16,武汉/天河,2450.00,2313.50
17,海口/美兰,2412.40,2258.80
18,乌鲁木齐/地窝堡,2302.80,2150.14
19,天津/滨海,2359.10,2100.71
20,三亚/凤凰,2003.90,1939.88
21,哈尔滨/太平,2043.20,1881.40
22,贵阳/龙洞堡,2009.60,1810.45
23,大连/周水子,1876.30,1750.28
24,沈阳/桃仙,1902.70,1734.46
25,济南/遥墙,1661.20,1432.07
26,南宁/吴圩,1509.80,1391.52
27,兰州/中川,1385.80,1281.96
28,福州/长乐,1439.40,1247.31
29,太原/武宿,1358.80,1239.78
30,长春/龙嘉,1297.00,1166.37
31,南昌/昌北,1352.40,1093.29
32,呼和浩特/白塔,1215.90,1034.81
33,石家庄/正定,1133.30,957.99
34,宁波/栎社,1171.80,938.94
35,温州/龙湾,1121.90,928.73
36,珠海/金湾,1122.10,922.02
37,合肥/新桥,1111.10,914.49
38,银川/河东,894.50,793.70
39,桂林/两江,873.20,785.96
40,丽江/三义,753.00,710.38
41,无锡/硕放,720.80,668.65
42,烟台/蓬莱,843.30,650.19
43,北京/南苑,651.30,595.34
44,西宁/曹家堡,634.00,563.06
45,泉州/晋江,744.30,533.93
46,揭阳/潮汕,649.40,484.99
47,西双版纳/嘎洒,444.60,399.10
48,拉萨/贡嘎,435.40,371.82
49,绵阳/南郊,393.90,354.23
50,常州/奔牛,332.80,250.98
51,宜昌/三峡,294.90,224.43
52,呼伦贝尔/东山,232.90,216.85
53,鄂尔多斯/伊金霍洛,247.50,210.64
54,湛江,256.00,209.15
55,包头/二里半,203.20,208.84
56,喀什,206.00,204.77
57,威海/大水泊,250.80,203.74
58,南通/兴东,277.10,200.94
59,徐州/观音,251.90,191.70
60,扬州/泰州,238.40,183.67
61,张家界/荷花,221.00,177.37
62,榆林/榆阳,209.00,177.12
63,北海/福成,228.20,171.06
64,德宏/芒市,181.40,165.21
65,大理,177.60,158.15
66,遵义/新舟,203.40,156.10
67,运城/张孝,205.30,144.48
68,延吉/朝阳川,151.30,141.14
69,铜仁/凤凰,127.70,134.56
70,临沂/沭埠岭,200.60,132.76
71,盐城/南洋,182.20,130.33
72,义乌,163.60,129.53
73,淮安/涟水,151.60,128.58
74,库尔勒,174.40,127.95
75,赣州/黄金,162.50,127.95
76,阿克苏/温宿,129.20,127.67
77,赤峰/玉龙,157.20,120.92
78,伊宁,133.30,115.21
79,柳州/白莲,134.70,113.58
80,毕节/飞雄,121.70,111.14
81,连云港/白塔埠,151.60,109.30
82,和田,121.80,103.13
83,襄阳/刘集,140.60,102.70
84,舟山/普陀山,121.00,102.28
85,腾冲/驼峰,117.00,99.74
86,济宁/曲阜,122.20,97.14
87,惠州/平潭,188.00,95.72
88,通辽,98.30,92.47
89,兴义,112.10,92.19
90,洛阳/北郊,131.40,88.07
91,十堰/武当山,118.30,86.99
92,宜宾/菜坝,97.50,82.84
93,台州/路桥,111.20,82.19
94,牡丹江/海浪,93.40,78.55
95,南阳/姜营,90.80,78.21
96,恩施/许家坪,103.90,76.96
97,南充/高坪,94.30,75.26
98,日照/山字河,90.10,73.73
99,黄山/屯溪,76.10,72.55
100,邯郸,76.40,68.40
101,乌兰浩特/义勒力特,73.80,67.09
102,佳木斯/东郊,86.50,66.80
103,万州/五桥,87.00,65.61
104,锡林浩特,62.30,64.90
105,大同/云冈,101.60,63.98
106,西昌/青山,67.70,63.51
107,白山/长白山,55.00,62.71
108,井冈山,65.80,62.67
109,景德镇/罗家,51.40,62.23
110,大庆/萨尔图,83.20,62.14
111,阜阳,80.00,61.02
112,保山/云瑞,101.60,60.12
113,张家口/宁远,38.70,60.00
114,潍坊,72.50,59.82
115,普洱/思茅,64.00,58.18
116,迪庆/香格里拉,59.20,57.09
117,长治/王村,69.00,55.69
118,宜春/明月山,64.00,54.28
119,九寨/黄龙,2.20,53.66
120,东营/胜利,69.10,53.11
121,敦煌,75.80,52.71
122,唐山/三女河,57.40,51.90
123,满洲里/西郊,42.80,50.18
124,武夷山,64.30,49.35
125,池州/九华山,45.10,47.52
126,衡阳/南岳,81.60,47.03
127,佛山/沙堤,10.90,46.98
128,林芝/米林,48.50,46.86
129,安庆,47.80,45.96
130,乌海,48.10,45.42
131,常德/桃花源,72.60,43.81
132,嘉峪关,56.10,43.42
133,凯里/黄平,14.20,42.64
